Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,VisitorType,Weekend,Revenue
2,61.0,0,0.0,5,97.0,0,0,0,0,3,0,0,0
1,14.0,0,0.0,46,1380.166667,0,0,0,0,3,0,0,0
1,38.0,0,0.0,23,1483.6,0,0,7,0,3,0,0,1
2,96.0,0,0.0,37,1238.5,0,0,0,0,3,1,0,0
6,615.25,0,0.0,68,2524.719048,0,0,0,0,3,0,0,0
4,111.0,0,0.0,4,54.0,0,0,0,0,3,0,0,0
2,147.0,0,0.0,2,35.0,0,0,0,0,3,1,0,0
3,53.16666667,0,0.0,11,263.6,0,0,0,0,3,0,0,0
2,58.0,0,0.0,7,101.8,0,0,0,0,3,1,0,0
3,48.5,0,0.0,55,1042.242857,0,0,0,0,3,1,0,0
1,21.0,3,116.0,21,613.6666667000001,0,0,0,0,3,0,0,0
4,115.33333329999999,0,0.0,64,1588.944444,0,0,0,0,3,0,0,0
1,8.0,0,0.0,14,269.5,0,0,0,0,3,0,0,0
1,32.28571429,0,0.0,8,1236.2,0,0,0,0,3,0,0,0
1,11.0,0,0.0,29,664.75,0,0,0,0,3,0,0,0
4,277.75,0,0.0,3,178.75,0,0,0,0,3,1,0,0
6,241.16666669999998,0,0.0,39,1513.566667,0,0,0,0,3,0,0,0
3,64.0,0,0.0,24,832.0909091,0,0,0,0,3,1,0,0
1,25.5,0,0.0,12,250.83333330000002,0,0,0,0,3,0,1,0
2,64.0,0,0.0,15,565.6666667000001,0,0,0,0,3,1,0,0
8,130.0,1,18.0,19,298.0,0,0,19,0,3,0,1,0
9,79.0,1,155.5,55,1743.0666670000003,0,0,0,0,3,0,0,0
3,84.0,0,0.0,27,655.9166667000001,0,0,0,0,3,0,0,0
3,41.0,0,0.0,46,2749.666667,0,0,0,0,3,0,0,0
1,14.0,0,0.0,4,65.0,0,0,0,0,3,0,0,0
4,86.0,0,0.0,46,2450.688095,0,0,0,0,3,0,0,0
3,618.0,0,0.0,9,341.0,0,0,34,0,3,1,0,1
1,11.88888889,0,0.0,111,3510.879903,0,0,12,0,3,0,0,0
5,51.5,0,0.0,2,6.0,0,0,0,0,3,0,0,0
2,7.0,0,0.0,27,559.4,0,0,0,0,3,0,1,0
8,269.0,0,0.0,33,1109.883333,0,0,0,0,3,0,0,0
2,44.5,0,0.0,7,212.16666669999998,0,0,0,0,3,1,1,0
1,3.0,14,1165.166667,81,2820.952419,0,0,0,0,3,0,0,0
4,61.0,0,0.0,14,175.66666669999998,0,0,0,0,3,0,0,0
3,90.0,0,0.0,25,397.8846154,0,0,0,0,3,0,1,0
2,102.5,3,60.0,22,1034.975,0,0,16,0,3,0,0,1
1,17.0,0,0.0,22,399.8,0,0,0,0,3,0,0,0
9,213.3214286,5,528.0,61,2258.430586,0,0,2,0,3,0,0,0
6,71.5,0,0.0,47,1532.2,0,0,27,0,3,0,0,1
1,6.0,0,0.0,14,548.1857143,0,0,0,0,3,0,1,0
3,304.0,0,0.0,31,1735.3015870000002,0,0,0,0,3,0,0,0
7,151.0,0,0.0,44,1406.1,0,0,0,0,3,0,0,0
3,199.75,0,0.0,8,331.4,0,0,0,0,3,1,0,0
1,13.5,1,28.0,88,1759.275703,0,0,0,0,3,0,0,0
7,191.2,4,654.3333332999999,31,1204.600433,0,0,11,0,3,0,0,1
2,47.0,0,0.0,39,1743.3666670000002,0,0,78,0,3,0,0,1
5,197.0,4,246.0,17,427.08333330000005,0,0,0,0,3,1,0,0
3,115.125,0,0.0,46,909.522619,0,0,0,0,3,0,0,0
4,312.75,0,0.0,14,702.9166667000001,0,0,0,0,3,1,0,0
4,724.0,0,0.0,2,159.0,0,0,0,0,3,1,0,0
8,237.5,4,142.0,30,1569.625,0,0,15,0,3,0,1,1
3,66.33333333,0,0.0,15,424.83333330000005,0,0,0,0,3,0,0,0
2,190.0,1,0.0,37,758.4428571000001,0,0,0,0,3,0,1,0
4,174.0,1,18.5,11,305.875,0,0,0,0,3,1,1,0
3,227.0,0,0.0,2,62.0,0,0,0,0,3,0,1,0
1,23.0,0,0.0,15,656.25,0,0,0,0,3,0,1,0
1,26.0,1,0.0,55,872.4,0,0,0,0,3,0,1,0
2,41.0,0,0.0,7,139.0,0,0,0,0,3,0,1,0
4,74.0,2,629.0,149,5042.4580590000005,0,0,18,0,3,0,0,1
2,74.0,0,0.0,13,429.0,0,0,0,0,3,0,0,0
2,45.0,0,0.0,9,96.46666667,0,0,0,0,3,0,0,0
2,112.0,0,0.0,9,198.83333330000002,0,0,0,0,3,1,1,0
2,37.0,0,0.0,15,208.5,0,0,0,0,3,1,1,0
1,5.5,0,0.0,22,339.25,0,0,0,0,3,0,0,0
3,50.0,0,0.0,13,796.0,0,0,0,0,3,0,0,0
2,26.0,0,0.0,19,3277.0,0,0,0,0,3,0,0,0
5,113.5,0,0.0,13,437.2,0,0,0,0,3,1,0,0
3,279.0,0,0.0,0,0.0,0,0,0,0,3,0,1,0
3,228.0,1,267.5,23,1266.267677,0,0,0,0,3,0,0,0
3,55.0,2,4.0,2,19.0,0,0,0,0,3,1,0,0
6,112.5,0,0.0,47,1882.113409,0,0,17,0,3,0,0,0
1,17.0,0,0.0,12,616.4,0,0,0,0,3,0,1,0
1,8.5,0,0.0,30,659.2,0,0,0,0,3,1,1,0
7,319.5,0,0.0,11,416.5,0,0,0,0,3,1,1,0
5,97.5,0,0.0,24,758.1444444,0,0,0,0,3,0,1,0
7,182.08333330000002,0,0.0,15,310.9,0,0,0,0,3,0,0,0
3,97.0,0,0.0,15,482.0,0,0,0,0,3,0,0,0
3,34.83333333,0,0.0,30,709.8333332999999,0,0,0,0,3,0,1,0
1,77.0,0,0.0,9,312.0,0,0,0,0,3,1,1,0
3,107.0,0,0.0,45,2502.966667,0,0,9,0,3,1,1,0
10,614.1666667000001,0,0.0,47,3608.9,0,0,7,0,3,0,0,0
13,315.96666669999996,1,0.0,15,406.575,0,0,0,0,3,0,0,0
1,0.0,0,0.0,39,2487.5,0,0,0,0,3,0,0,0
2,11.0,0,0.0,20,510.0,0,0,0,0,3,0,0,0
2,47.66666667,0,0.0,5,72.33333333,0,0,0,0,3,1,0,0
2,30.0,1,148.5,24,1530.194444,0,0,10,0,3,0,0,0
2,25.0,0,0.0,6,65.0,0,0,0,0,3,1,1,0
8,359.0,2,954.0,14,336.5,0,0,0,0,3,0,1,0
5,59.0,0,0.0,3,44.66666667,0,0,0,0,3,0,1,0
4,1347.75,0,0.0,22,3410.875,0,0,0,0,3,0,0,0
18,280.95,6,762.5,79,2096.911364,0,0,25,0,3,0,0,0
4,100.3,0,0.0,66,2868.1333329999998,0,0,9,0,3,0,0,1
1,23.0,0,0.0,27,1058.893939,0,0,1,0,3,0,0,0
6,53.38095238,0,0.0,5,54.38095238,0,0,0,0,3,1,1,0
2,8.0,0,0.0,11,543.5,0,0,0,0,3,0,0,0
1,0.0,1,60.0,43,1131.808333,0,0,0,0,3,0,0,0
6,573.5,1,0.0,33,1946.942857,0,0,0,0,3,0,0,0
9,97.64285714,0,0.0,37,584.5958874,0,0,0,0,3,0,1,0
3,148.0,0,0.0,8,292.5,0,0,0,0,3,0,1,0
3,58.0,0,0.0,23,364.1666667,0,0,0,0,3,0,0,0
1,3.0,0,0.0,3,236.0,0,0,0,0,3,0,1,0
4,97.61111111,0,0.0,24,1128.468254,0,0,0,0,3,0,0,0
4,57.0,0,0.0,5,81.0,0,0,0,0,3,0,0,0
2,34.0,0,0.0,21,521.5,0,0,0,0,3,0,1,0
1,7.0,0,0.0,4,45.0,0,0,0,0,3,0,0,0
2,37.5,0,0.0,2,492.5,0,0,0,0,3,0,0,0
1,3.0,0,0.0,40,624.75,0,0,0,0,3,0,0,0
2,22.5,0,0.0,28,686.3222222,0,0,0,0,3,0,0,0
2,38.0,0,0.0,21,733.7,0,0,0,0,3,0,1,0
6,77.0,3,447.0,34,1469.702381,0,0,22,0,3,0,0,0
2,58.5,2,125.0,16,485.83333330000005,0,0,0,0,3,1,1,0
6,99.33333333,1,28.5,5,345.5,0,0,0,0,3,1,0,0
3,117.0,0,0.0,20,543.8,0,0,0,0,3,1,0,0
2,16.66666667,0,0.0,22,343.36904760000004,0,0,0,0,3,0,0,0
12,81.5,0,0.0,61,2202.5791670000003,0,0,0,0,3,0,0,0
4,34.0,0,0.0,46,627.3083333,0,0,0,0,3,1,0,0
4,38.5,0,0.0,33,583.8333332999999,0,0,0,0,3,0,1,0
7,156.25,0,0.0,37,1037.355013,0,0,0,0,3,0,0,0
3,15.0,0,0.0,11,246.0,0,0,0,0,3,0,0,0
1,19.0,0,0.0,40,1361.166667,0,0,0,0,3,0,1,0
1,7.0,0,0.0,17,2648.5,0,0,0,0,3,0,0,0
5,67.5,3,245.0,32,1929.329762,0,0,0,0,3,0,0,0
12,311.4090909,0,0.0,96,4233.4807,0,0,3,0,3,0,1,0
3,14.0,0,0.0,27,1585.666667,0,0,0,0,3,0,1,0
6,145.0,0,0.0,13,644.0,0,0,0,0,3,1,0,0
1,43.0,0,0.0,37,1505.166667,0,0,0,0,3,1,0,0
4,84.0,0,0.0,21,270.0,0,0,0,0,3,0,0,0
4,120.0,0,0.0,13,293.0,0,0,0,0,3,0,0,0
5,263.0,0,0.0,3,212.0,0,0,0,0,3,1,0,0
1,0.0,0,0.0,34,2161.9793649999997,0,0,0,0,3,0,0,0
9,72.94444444,2,125.0952381,17,318.0730159,0,0,0,0,3,0,0,0
1,18.5,0,0.0,12,208.0,0,0,0,0,3,0,0,0
6,87.33333333,0,0.0,62,1470.8530369999999,0,0,0,0,3,0,1,0
6,99.60588235,0,0.0,83,2585.61835,0,0,6,0,3,0,0,1
3,63.0,0,0.0,13,400.3333333,0,0,0,0,3,0,0,0
3,68.0,1,103.0,10,808.5,0,0,35,0,3,0,1,1
3,68.5,0,0.0,37,1121.2055560000001,0,0,0,0,3,0,1,0
1,135.0,0,0.0,2,141.0,0,0,0,0,3,0,0,0
1,34.0,0,0.0,7,179.0,0,0,53,0,3,1,0,1
6,176.25,12,404.0,41,2720.671429,0,0,8,0,3,0,1,1
16,315.14498639999994,6,147.8666667,173,6255.017865999999,0,0,0,0,3,0,0,0
4,76.0,0,0.0,39,1936.55,0,0,5,0,3,0,0,0
3,118.66666670000001,0,0.0,17,694.0,0,0,27,0,3,0,1,1
8,174.5,0,0.0,10,195.5,0,0,0,0,3,0,0,0
1,40.0,0,0.0,27,1400.5,0,0,0,0,3,0,0,0
8,201.16666669999998,3,41.0,18,914.1666667000002,0,0,0,0,3,0,0,0
13,374.875,1,53.0,88,5958.071931,0,0,0,0,3,0,0,0
4,56.0,0,0.0,31,270.4916667,0,0,0,0,3,0,0,0
3,92.83333333,0,0.0,24,463.8166666999999,0,0,17,0,3,0,0,1
1,4.0,3,148.5,5,185.83333330000002,0,0,0,0,3,0,0,0
2,102.0,0,0.0,16,502.83333330000005,0,0,0,0,3,0,1,0
1,11.0,0,0.0,16,253.0,0,0,0,0,3,1,0,0
3,187.0,2,41.0,48,1769.6973829999997,0,0,16,0,3,0,0,0
4,185.0,0,0.0,40,1694.75,0,0,0,0,3,0,0,0
8,166.2,5,371.0,23,626.2213674999999,0,0,0,0,3,0,0,0
2,84.0,0,0.0,3,195.0,0,0,0,0,3,0,0,0
3,86.0,0,0.0,22,1187.833333,0,0,0,0,3,0,1,0
3,24.0,0,0.0,6,58.0,0,0,0,0,3,0,0,0
8,17.34848485,0,0.0,19,291.2589744,0,0,0,0,3,0,0,0
2,15.0,0,0.0,3,21.0,0,0,0,0,3,0,0,0
3,36.0,1,395.0,12,343.5833333,0,0,0,0,3,1,0,0
2,34.0,0,0.0,81,2241.002381,0,0,0,0,3,0,0,0
2,47.0,0,0.0,21,825.0833332999999,0,0,10,0,3,1,0,1
5,44.5,1,4.0,37,836.3333332999999,0,0,0,0,3,0,0,0
6,125.5,0,0.0,19,1409.416667,0,0,0,0,3,0,0,0
2,42.0,2,54.0,10,420.0,0,0,0,0,3,0,0,0
2,95.0,0,0.0,15,449.5,0,0,0,0,3,0,0,0
4,56.5,0,0.0,8,202.16666669999998,0,0,0,0,3,1,1,0
5,134.9285714,2,41.0,31,2013.5952379999999,0,0,8,0,3,0,0,1
2,64.0,0,0.0,19,371.2272727,0,0,0,0,3,0,0,0
3,68.0,0,0.0,8,306.0,0,0,0,0,3,1,1,0
2,20.5,0,0.0,21,719.7380952000001,0,0,0,0,3,0,0,0
3,11.33333333,0,0.0,20,302.3888889,0,0,0,0,3,0,0,0
5,504.0,0,0.0,13,922.0833332999998,0,0,0,0,3,0,0,0
2,25.0,0,0.0,20,667.9166667000001,0,0,18,0,3,0,0,0
2,20.0,0,0.0,13,181.5,0,0,0,0,3,0,0,0
1,19.66666667,0,0.0,14,512.1111111,0,0,0,0,3,0,1,0
1,13.0,0,0.0,15,317.0,0,0,0,0,3,1,1,0
6,76.33333333,0,0.0,7,78.83333333,0,0,0,0,3,0,0,0
2,45.44444444,1,40.66666667,57,851.6426534,0,0,3,0,3,0,1,1
3,31.0,0,0.0,58,1400.4389609999998,0,0,0,0,3,0,0,0
8,125.16666670000001,0,0.0,27,1802.25,0,0,0,0,3,0,1,0
2,13.0,0,0.0,23,855.1666667000002,0,0,0,0,3,0,0,0
1,72.66666667,4,345.0,24,879.9090909,0,0,6,0,3,0,0,1
5,100.91666670000001,0,0.0,56,1432.223333,0,0,69,0,3,0,1,1
7,60.0,3,23.0,111,2524.501905,0,0,6,0,3,0,1,0
3,49.5,1,29.5,45,1545.5,0,0,20,0,3,0,1,1
5,175.23076919999997,0,0.0,20,2224.85,0,0,0,0,3,0,0,0
6,96.85714286,0,0.0,28,672.5452381,0,0,19,0,3,0,0,1
4,178.2,0,0.0,9,368.2,0,0,0,0,3,0,1,0
7,156.5,1,122.0,26,694.7121212000001,0,0,0,0,3,0,0,0
5,58.0,0,0.0,10,657.2619047999999,0,0,0,0,3,1,0,0
1,43.0,0,0.0,43,1223.347222,0,0,0,0,3,0,0,0
2,306.0,0,0.0,14,964.5,0,0,0,0,3,0,0,0
3,72.0,1,0.0,38,461.5,0,0,0,0,3,0,0,0
1,202.0,0,0.0,2,8.0,0,0,0,0,3,1,0,0
4,359.3,4,407.0,69,5485.105556,0,0,4,0,3,0,1,1
1,39.0,0,0.0,15,787.0,0,0,0,0,3,0,0,0
2,41.5,2,60.5,21,534.5,0,0,0,0,3,0,1,0
2,123.0,0,0.0,7,873.0,0,0,0,0,3,0,0,0
3,42.0,0,0.0,31,3121.369048,0,0,0,0,3,0,1,0
1,22.0,0,0.0,52,1551.666667,0,0,7,0,3,0,0,0
2,95.5,0,0.0,13,334.5,0,0,0,0,3,1,0,0
2,48.66666667,0,0.0,48,3726.333333,0,0,0,0,3,0,1,0
5,294.7,6,329.5,59,2816.7817809999997,0,0,2,0,3,0,0,0
1,0.0,0,0.0,41,1202.904762,0,0,0,0,3,0,0,0
3,125.0,1,70.0,29,705.4,0,0,0,0,3,0,0,0
3,12.0,1,24.0,3,5.333333333,0,0,0,0,3,0,0,0
1,10.5,0,0.0,7,525.0,0,0,0,0,3,0,0,0
3,99.0,0,0.0,37,2419.1333329999998,0,0,0,0,3,0,0,0
6,171.08333330000002,0,0.0,28,952.2857142999999,0,0,52,0,3,0,0,1
7,159.5,0,0.0,14,249.0,0,0,0,0,3,0,1,0
1,5.0,0,0.0,13,271.0,0,0,0,0,3,1,1,0
5,206.0,0,0.0,15,650.6961927,0,0,0,0,3,1,0,0
2,40.0,2,162.0,17,481.66666669999995,0,0,32,0,3,0,0,0
6,262.25,3,298.0,49,2302.0212420000003,0,0,43,0,3,0,0,1
2,44.0,0,0.0,26,1636.016667,0,0,0,0,3,0,0,0
2,62.5,0,0.0,17,548.3333332999999,0,0,0,0,3,0,0,0
2,48.0,0,0.0,51,1671.375,0,0,0,0,3,0,1,0
7,159.33333330000002,0,0.0,24,520.6666667,0,0,0,0,3,1,1,0
2,32.5,0,0.0,19,423.8166666999999,0,0,0,0,3,0,0,0
11,212.7416667,3,104.0,71,1678.905125,0,0,8,0,3,0,1,0
3,16.33333333,0,0.0,23,505.58333330000005,0,0,9,0,3,0,0,1
4,130.0,0,0.0,28,818.7916667000001,0,0,0,0,3,1,0,0
4,15.0,1,17.0,17,490.0,0,0,15,0,3,0,0,1
2,44.0,0,0.0,16,672.5,0,0,0,0,3,0,1,0
9,140.5,0,0.0,35,1090.490476,0,0,0,0,3,0,1,0
4,56.0,1,88.0,22,1734.7809519999998,0,0,0,0,3,0,1,0
3,281.0,0,0.0,6,145.0,0,0,0,0,3,1,0,0
2,88.0,0,0.0,16,1106.333333,0,0,0,0,3,0,0,0
1,0.0,0,0.0,17,684.9166667000001,0,0,0,0,3,0,1,0
9,110.4090909,1,51.0,62,3120.2111019999998,0,0,7,0,3,0,0,0
10,316.14050249999997,7,321.6666667,287,12983.787709999999,0,0,1,0,3,1,0,0
2,27.0,0,0.0,6,558.0,0,0,0,0,3,1,0,0
3,74.0,2,26.0,53,893.5111111,0,0,44,0,3,0,1,1
1,0.0,1,0.0,15,708.5333333,0,0,54,0,3,0,0,0
2,140.0,0,0.0,6,130.0,0,0,0,0,3,1,1,0
3,119.0,0,0.0,41,1282.5,0,0,0,0,3,1,0,0
7,301.7,6,336.5,42,1981.016667,0,0,13,0,3,0,1,1
6,113.5,0,0.0,18,1066.5,0,0,0,0,3,1,0,0
3,421.0,0,0.0,4,110.5,0,0,0,0,3,1,1,0
2,115.0,0,0.0,5,36.0,0,0,0,0,3,0,0,0
1,9.0,0,0.0,5,49.0,0,0,0,0,3,0,0,0
2,208.0,1,50.0,30,1461.666667,0,0,0,0,3,0,0,0
5,193.0,1,13.0,66,2049.458471,0,0,29,0,3,0,1,0
1,3.0,0,0.0,11,271.71666669999996,0,0,0,0,3,0,1,0
4,87.5,1,20.0,36,1279.166667,0,0,0,0,3,0,0,0
5,42.18181818,0,0.0,12,231.1818182,0,0,0,0,3,1,1,0
3,132.5,0,0.0,36,1567.966667,0,0,0,0,3,0,1,0
7,163.66666669999998,0,0.0,8,119.33333329999999,0,0,0,0,3,1,1,0
2,83.0,0,0.0,15,605.8857142999999,0,0,0,0,3,0,1,0
5,117.83333329999999,0,0.0,35,502.54761900000005,0,0,3,0,3,0,0,1
3,95.0,0,0.0,27,808.7,0,0,0,0,3,0,1,0
3,60.0,0,0.0,19,494.5,0,0,0,0,3,0,1,0
5,55.5,0,0.0,63,1656.316667,0,0,0,0,3,0,1,0
8,160.5,2,1467.0,26,721.0,0,0,0,0,3,0,0,0
4,64.33333333,1,13.0,27,1433.916667,0,0,3,0,3,1,0,1
4,73.33333333,0,0.0,17,478.83333330000005,0,0,0,0,3,0,0,0
9,215.2333333,5,450.0,35,1974.352381,0,0,15,0,3,0,0,0
4,81.5,0,0.0,12,223.58333330000002,0,0,0,0,3,0,0,0
7,201.5,0,0.0,17,750.1666667000001,0,0,0,0,3,0,0,0
7,146.25,0,0.0,42,1030.266667,0,0,0,0,3,1,0,0
5,156.2690476,4,90.0,35,776.0190476,0,0,0,0,3,0,0,0
4,13.61904762,0,0.0,27,520.3333333,0,0,8,0,3,0,1,0
2,14.0,0,0.0,31,754.5,0,0,0,0,3,0,1,0
1,12.0,0,0.0,6,74.0,0,0,0,0,3,0,0,0
6,352.5,0,0.0,21,696.6666667000001,0,0,75,0,3,1,1,1
5,92.75,1,74.75,84,2756.2151519999998,0,0,0,0,3,1,1,0
3,168.0,0,0.0,7,296.1666667,0,0,0,0,3,1,0,0
5,179.5,0,0.0,36,1792.8,0,0,0,0,3,0,0,0
8,274.5,0,0.0,24,515.5757576000001,0,0,0,0,3,0,1,0
3,64.5,0,0.0,35,1334.551371,0,0,0,0,3,0,1,0
1,4.0,2,102.0,31,624.5833332999999,0,0,8,0,3,0,1,0
9,171.66666669999998,3,109.75,41,1284.663492,0,0,21,0,3,0,0,0
1,0.0,0,0.0,1,28.0,0,0,0,0,3,0,0,0
9,311.9166667,0,0.0,40,633.4,0,0,0,0,3,0,0,0
1,98.5,0,0.0,5,436.5,0,0,0,0,3,1,1,0
9,867.9226189999999,0,0.0,137,3909.36829,0,0,9,0,3,0,0,0
3,147.0,0,0.0,3,24.0,0,0,0,0,3,0,0,0
2,27.0,0,0.0,18,915.1666667000002,0,0,0,0,3,0,0,0
3,106.75,0,0.0,5,137.33333330000002,0,0,0,0,3,1,1,0
1,55.0,1,47.0,47,1842.95,0,0,0,0,3,0,0,0
5,241.66666669999998,5,229.0,38,1054.944444,0,0,8,0,3,0,1,0
1,47.0,0,0.0,5,388.0,0,0,31,0,3,0,1,1
3,35.0,0,0.0,16,352.0,0,0,0,0,3,0,0,0
3,33.0,2,84.5,4,46.5,0,0,0,0,3,1,0,0
3,152.5,5,243.5,43,3065.945238,0,0,3,0,3,0,1,1
4,162.0,3,75.5,4,158.5,0,0,0,0,3,0,0,0
4,539.5,0,0.0,1,0.0,0,0,0,0,3,1,0,0
4,120.5,0,0.0,66,3960.646154,0,0,0,0,3,0,0,0
1,12.0,0,0.0,13,2004.5,0,0,0,0,3,0,1,0
12,285.01190479999997,0,0.0,53,967.2106970000001,0,0,0,0,3,0,0,0
10,198.5,2,158.0,6,73.21428571,0,0,0,0,3,0,0,0
4,224.0,1,32.0,20,789.35,0,0,0,0,3,0,0,0
4,162.5,2,44.5,20,1115.266667,0,0,0,0,3,0,0,0
2,77.5,3,92.0,18,341.2916667,0,0,0,0,3,1,1,0
6,192.5,0,0.0,113,3000.666667,0,0,0,0,3,0,0,0
6,148.8,4,81.33333333,29,1715.6878969999998,0,0,0,0,3,0,0,0
13,112.26666670000002,0,0.0,49,1503.4909089999999,0,0,0,0,3,1,0,0
3,150.0,0,0.0,12,271.3333333,0,0,0,0,3,1,0,0
4,167.5,0,0.0,22,869.9,0,0,33,0,3,0,0,1
4,57.0,1,0.0,19,479.86666669999994,0,0,0,0,3,0,0,0
5,345.0,0,0.0,7,229.5,0,0,0,0,3,0,0,0
11,267.1666667,0,0.0,39,881.4416667000002,0,0,20,0,3,1,0,0
3,123.0,0,0.0,8,371.6666667,0,0,0,0,3,1,0,0
3,1373.5,0,0.0,43,2798.0738100000003,0,0,2,0,3,0,0,0
5,29.0,0,0.0,4,12.0,0,0,0,0,3,1,1,0
8,29.5,0,0.0,89,6770.274267,0,0,0,0,3,0,0,0
5,79.33333333,3,242.0555556,17,1142.8169189999999,0,0,62,0,3,0,0,0
3,16.0,0,0.0,11,207.0,0,0,0,0,3,0,0,0
2,33.0,0,0.0,9,354.0,0,0,0,0,3,1,0,0
3,139.0,0,0.0,10,277.14285710000007,0,0,0,0,3,0,1,0
2,47.0,0,0.0,17,411.625,0,0,0,0,3,0,0,0
1,54.5,0,0.0,68,3135.517677,0,0,4,0,3,0,0,0
14,272.5,2,52.25,55,1127.288305,0,0,0,0,3,0,0,0
5,169.0,0,0.0,3,50.0,0,0,0,0,3,1,0,0
4,59.25,0,0.0,9,139.25,0,0,0,0,3,0,0,0
4,175.0,0,0.0,15,270.5,0,0,0,0,3,0,0,0
4,159.0,0,0.0,3,64.75,0,0,0,0,3,0,0,0
11,247.33333330000002,2,369.0,90,7221.0,0,0,13,0,3,0,0,1
2,78.33333333,0,0.0,12,262.5,0,0,0,0,3,0,0,0
